unix_ms,kind,rep,mode,focused_start,focused_end,spoofed,dir,dir_deg,hold_req_ms,held_ms,start_x,start_y,target_x,target_y,end_x,end_y,gain_at_release,gain,heading_err_deg,first_pos_move_ms,first_mode_move_ms,player_modes,samples,result,evidence
1790211426039,trial,1,focused,true,true,false,+x,0,80,122,5068,5083,5078,5083,5076,5083,2,8,0.0,174,132,5>3,13,done,"from=(5068,5083) to=(5070,5083) gain=2"
1790211426968,return,0,focused,true,true,false,home,-1,1190,488,5076,5083,5068,5083,5063,5082,7,13,4.4,91,1,3,22,done,"from=(5076,5083) to=(5069,5083) gain=7 arrived-early"
1790211427780,return,0,focused,true,true,false,home,-1,800,366,5063,5082,5068,5083,5073,5084,4,10,0.0,44,2,3,19,done,"from=(5063,5082) to=(5067,5083) gain=4 arrived-early"
1790211428330,trial,1,focused,true,true,false,+x,0,120,123,5073,5084,5083,5084,5082,5084,4,9,0.0,42,1,3,13,done,"from=(5073,5084) to=(5077,5084) gain=4"
1790211429597,return,0,focused,true,true,false,home,-1,1970,853,5082,5084,5068,5083,5065,5081,12,17,5.9,44,2,3,30,done,"from=(5082,5084) to=(5070,5082) gain=12 arrived-early"
1790211430152,return,0,focused,true,true,false,home,-1,540,123,5065,5081,5068,5083,5070,5085,1,5,5.0,48,1,3,13,done,"from=(5065,5081) to=(5066,5082) gain=1 arrived-early"
1790211430825,trial,1,focused,true,true,false,+x,0,200,243,5070,5085,5080,5085,5081,5085,6,11,0.0,41,0,3,16,done,"from=(5070,5085) to=(5076,5086) gain=6"
1790211431957,return,0,focused,true,true,false,home,-1,1840,729,5081,5085,5068,5083,5066,5082,11,15,2.6,42,1,3,27,done,"from=(5081,5085) to=(5070,5083) gain=11 arrived-early"
1790211432763,trial,1,focused,true,true,false,+x,0,300,366,5065,5082,5076,5082,5075,5083,5,10,5.7,42,1,3,19,done,"from=(5065,5082) to=(5070,5082) gain=5"
1790211433559,return,0,focused,true,true,false,home,-1,1060,365,5075,5083,5068,5083,5064,5082,5,11,5.2,207,1,3,19,done,"from=(5075,5083) to=(5070,5083) gain=5 arrived-early"
1790211434107,return,0,focused,true,true,false,home,-1,670,123,5064,5082,5068,5083,5071,5084,2,7,1.9,42,1,3,13,done,"from=(5064,5082) to=(5066,5083) gain=2 arrived-early"
1790211434918,trial,1,focused,true,true,false,+x,0,500,368,5071,5084,5081,5084,5084,5084,8,13,0.0,44,2,3,19,done,"from=(5071,5084) to=(5079,5084) gain=8 arrived-early"
1790211436312,return,0,focused,true,true,false,home,-1,2000,973,5084,5084,5068,5083,5064,5081,15,20,5.0,42,1,3,33,done,"from=(5084,5084) to=(5069,5082) gain=15 arrived-early"
1790211436986,return,0,focused,true,true,false,home,-1,670,244,5064,5081,5068,5083,5072,5084,3,8,6.0,41,1,3,16,done,"from=(5064,5081) to=(5067,5082) gain=3 arrived-early"
1790211437914,trial,1,focused,true,true,false,+x,0,800,489,5072,5084,5082,5084,5087,5084,9,15,0.0,42,1,3,22,done,"from=(5072,5084) to=(5081,5084) gain=9 arrived-early"
1790211439434,return,0,focused,true,true,false,home,-1,2000,1094,5087,5084,5068,5083,5064,5082,18,23,2.0,43,2,3,36,done,"from=(5087,5084) to=(5069,5082) gain=18 arrived-early"
1790211440107,return,0,focused,true,true,false,home,-1,670,243,5064,5082,5068,5083,5073,5083,3,9,7.7,43,2,3,16,done,"from=(5064,5082) to=(5067,5082) gain=3 arrived-early"
1790211440911,trial,1,focused,true,true,false,+x,0,1200,366,5073,5083,5083,5083,5086,5083,8,13,0.0,84,2,3,19,done,"from=(5073,5083) to=(5081,5083) gain=8 arrived-early"
1790211442554,return,0,focused,true,true,false,home,-1,2000,1218,5086,5083,5068,5083,5063,5082,18,23,2.5,42,1,3,39,done,"from=(5086,5083) to=(5068,5083) gain=18 arrived-early"
1790211443230,return,0,focused,true,true,false,home,-1,800,242,5063,5082,5068,5083,5072,5084,3,9,1.2,43,1,3,16,done,"from=(5063,5082) to=(5066,5083) gain=3 arrived-early"
1790211444040,trial,1,focused,true,true,false,+x,0,2000,366,5072,5084,5082,5084,5085,5084,8,13,0.0,43,1,3,19,done,"from=(5072,5084) to=(5080,5084) gain=8 arrived-early"
1790211445554,return,0,focused,true,true,false,home,-1,2000,1092,5085,5084,5068,5083,5064,5082,16,21,2.1,43,2,3,36,done,"from=(5085,5084) to=(5069,5082) gain=16 arrived-early"
1790211446226,return,0,focused,true,true,false,home,-1,670,243,5064,5081,5068,5083,5072,5085,3,8,0.0,43,2,3,16,done,"from=(5064,5081) to=(5067,5083) gain=3 arrived-early"
1790211446774,trial,1,focused,true,true,false,+x+y,45,80,123,5072,5085,5079,5092,5079,5091,3,7,4.4,42,0,3,13,done,"from=(5072,5085) to=(5075,5088) gain=3"
1790211447918,return,0,focused,true,true,false,home,-1,1580,739,5079,5091,5068,5083,5066,5082,9,13,1.3,42,1,3,27,done,"from=(5079,5091) to=(5070,5085) gain=9 arrived-early"
1790211448466,trial,1,focused,true,true,false,+x+y,45,120,123,5066,5082,5073,5089,5070,5086,0,4,0.0,42,1,3,13,blocked,"from=(5066,5082) to=(5066,5082) gain=0"
1790211449015,return,0,focused,true,true,false,home,-1,540,125,5070,5086,5068,5083,5066,5080,2,6,0.0,85,2,3,13,done,"from=(5070,5086) to=(5070,5084) gain=2 arrived-early"
1790211449559,return,0,focused,true,true,false,home,-1,540,122,5066,5080,5068,5083,5069,5087,2,7,10.5,83,1,3,13,done,"from=(5066,5080) to=(5066,5082) gain=2 arrived-early"
1790211450232,trial,1,focused,true,true,false,+x+y,45,200,244,5069,5087,5076,5094,5077,5095,4,8,0.0,83,0,3,16,done,"from=(5069,5087) to=(5073,5091) gain=4"
1790211451401,return,0,focused,true,true,false,home,-1,1710,730,5077,5095,5068,5083,5066,5081,9,14,1.3,86,3,3,28,done,"from=(5077,5095) to=(5070,5086) gain=9 arrived-early"
1790211452213,trial,1,focused,true,true,false,+x+y,45,300,365,5066,5081,5073,5088,5073,5088,3,7,0.0,83,1,3,19,done,"from=(5066,5081) to=(5069,5084) gain=3"
