unix_ms,kind,rep,mode,focused_start,focused_end,spoofed,dir,dir_deg,hold_req_ms,held_ms,start_x,start_y,target_x,target_y,end_x,end_y,gain_at_release,gain,heading_err_deg,first_pos_move_ms,first_mode_move_ms,player_modes,samples,result,evidence
1790212154167,trial,1,posted,false,false,false,+x,0,80,122,5055,5095,5065,5095,5063,5095,2,8,0.0,167,125,5>3,13,done,"from=(5055,5095) to=(5057,5095) gain=2"
1790212155220,return,0,posted,false,false,false,home,-1,1190,608,5063,5094,5055,5095,5051,5094,8,12,7.1,83,1,3,25,done,"from=(5063,5094) to=(5055,5095) gain=8 arrived-early"
1790212155894,return,0,posted,false,false,false,home,-1,670,243,5051,5094,5055,5095,5058,5095,3,7,5.9,43,1,3,16,done,"from=(5051,5094) to=(5054,5094) gain=3 arrived-early"
1790212156441,trial,1,posted,false,false,false,+x,0,120,123,5058,5095,5068,5095,5067,5094,4,9,6.3,42,1,3,13,done,"from=(5058,5095) to=(5062,5095) gain=4"
1790212157574,return,0,posted,false,false,false,home,-1,1710,728,5067,5094,5055,5095,5052,5095,10,15,0.9,43,1,3,27,done,"from=(5067,5094) to=(5057,5095) gain=10 arrived-early"
1790212158127,return,0,posted,false,false,false,home,-1,540,122,5052,5095,5055,5095,5057,5095,1,5,0.0,90,2,3,13,done,"from=(5052,5095) to=(5053,5094) gain=1 arrived-early"
1790212158800,trial,1,posted,false,false,false,+x,0,200,244,5057,5095,5067,5095,5069,5094,6,12,4.8,42,1,3,16,done,"from=(5057,5095) to=(5063,5095) gain=6"
1790212159980,return,0,posted,false,false,false,home,-1,1970,740,5069,5094,5055,5095,5052,5095,12,17,0.7,83,1,3,28,done,"from=(5069,5094) to=(5057,5095) gain=12 arrived-early"
1790212160528,return,0,posted,false,false,false,home,-1,540,123,5052,5095,5055,5095,5057,5095,1,5,0.0,42,1,3,13,done,"from=(5052,5095) to=(5053,5094) gain=1 arrived-early"
1790212161332,trial,1,posted,false,false,false,+x,0,300,365,5057,5095,5067,5095,5070,5094,7,13,4.4,83,1,3,19,done,"from=(5057,5095) to=(5064,5095) gain=7"
1790212162594,return,0,posted,false,false,false,home,-1,2000,851,5070,5094,5055,5095,5052,5095,13,18,0.6,42,1,3,30,done,"from=(5070,5094) to=(5057,5095) gain=13 arrived-early"
1790212163142,return,0,posted,false,false,false,home,-1,540,122,5052,5095,5055,5095,5057,5095,1,5,0.0,89,1,3,13,done,"from=(5052,5095) to=(5053,5094) gain=1 arrived-early"
1790212163948,trial,1,posted,false,false,false,+x,0,500,366,5057,5095,5067,5095,5070,5094,8,13,4.4,48,1,3,19,done,"from=(5057,5095) to=(5065,5095) gain=8 arrived-early"
1790212165216,return,0,posted,false,false,false,home,-1,2000,851,5070,5094,5055,5095,5052,5095,13,18,0.6,43,1,3,30,done,"from=(5070,5094) to=(5057,5095) gain=13 arrived-early"
1790212165765,return,0,posted,false,false,false,home,-1,540,122,5052,5095,5055,5095,5057,5095,1,5,0.0,83,1,3,13,done,"from=(5052,5095) to=(5053,5094) gain=1 arrived-early"
1790212166562,trial,1,posted,false,false,false,+x,0,800,373,5057,5095,5067,5095,5071,5094,8,14,4.1,42,1,3,19,done,"from=(5057,5095) to=(5065,5095) gain=8 arrived-early"
1790212167957,return,0,posted,false,false,false,home,-1,2000,974,5071,5094,5055,5095,5051,5094,15,20,3.6,83,1,3,33,done,"from=(5071,5094) to=(5056,5095) gain=15 arrived-early"
1790212168504,return,0,posted,false,false,false,home,-1,670,123,5051,5094,5055,5095,5058,5095,2,7,5.9,83,1,3,13,done,"from=(5051,5094) to=(5053,5094) gain=2 arrived-early"
1790212169308,trial,1,posted,false,false,false,+x,0,1200,365,5058,5095,5068,5095,5072,5095,8,14,0.0,42,1,3,19,done,"from=(5058,5095) to=(5066,5095) gain=8 arrived-early"
1790212170699,return,0,posted,false,false,false,home,-1,2000,977,5072,5095,5055,5095,5052,5094,15,20,2.9,42,1,3,33,done,"from=(5072,5095) to=(5057,5095) gain=15 arrived-early"
1790212171245,return,0,posted,false,false,false,home,-1,540,122,5052,5094,5055,5095,5058,5096,1,6,0.0,42,1,3,13,done,"from=(5052,5094) to=(5053,5095) gain=1 arrived-early"
1790212172056,trial,1,posted,false,false,false,+x,0,2000,366,5058,5096,5068,5096,5072,5096,7,14,0.0,1,1,3,19,done,"from=(5059,5096) to=(5066,5096) gain=7 arrived-early"
1790212173452,return,0,posted,false,false,false,home,-1,2000,971,5072,5096,5055,5095,5052,5094,15,20,2.3,42,1,3,33,done,"from=(5072,5096) to=(5057,5095) gain=15 arrived-early"
1790212173999,return,0,posted,false,false,false,home,-1,540,122,5052,5094,5055,5095,5058,5096,1,6,0.0,42,0,3,13,done,"from=(5052,5094) to=(5053,5094) gain=1 arrived-early"
1790212174548,trial,1,posted,false,false,false,+x+y,45,80,123,5058,5096,5065,5103,5065,5102,3,7,4.4,83,1,3,13,done,"from=(5058,5096) to=(5061,5098) gain=3"
1790212175560,return,0,posted,false,false,false,home,-1,1450,609,5065,5102,5055,5095,5053,5094,8,12,1.3,83,1,3,24,done,"from=(5065,5102) to=(5057,5096) gain=8 arrived-early"
1790212176108,trial,1,posted,false,false,false,+x+y,45,120,122,5053,5094,5060,5101,5058,5099,2,5,0.0,1,1,3,13,done,"from=(5052,5094) to=(5054,5095) gain=2"
1790212176782,return,0,posted,false,false,false,home,-1,670,243,5058,5099,5055,5095,5051,5093,3,7,12.5,83,1,3,16,done,"from=(5058,5099) to=(5056,5096) gain=3 arrived-early"
1790212177461,return,0,posted,false,false,false,home,-1,670,244,5051,5093,5055,5095,5059,5096,3,8,6.0,90,1,3,16,done,"from=(5051,5093) to=(5054,5094) gain=3 arrived-early"
1790212178135,trial,1,posted,false,false,false,+x+y,45,200,244,5059,5096,5066,5103,5067,5104,5,8,0.0,41,1,3,16,done,"from=(5059,5096) to=(5064,5100) gain=5"
1790212179402,return,0,posted,false,false,false,home,-1,1710,852,5067,5104,5055,5095,5052,5094,11,15,3.2,83,1,3,30,done,"from=(5067,5104) to=(5056,5097) gain=11 arrived-early"
1790212179951,return,0,posted,false,false,false,home,-1,540,123,5052,5094,5055,5095,5057,5095,1,5,7.1,42,1,3,13,done,"from=(5052,5094) to=(5053,5093) gain=1 arrived-early"
1790212180749,trial,1,posted,false,false,false,+x+y,45,300,366,5057,5095,5064,5102,5066,5104,6,9,0.0,82,0,3,19,done,"from=(5057,5095) to=(5063,5099) gain=6"
1790212181888,return,0,posted,false,false,false,home,-1,1580,728,5066,5104,5055,5095,5053,5094,9,13,1.7,83,1,3,27,done,"from=(5066,5104) to=(5057,5096) gain=9 arrived-early"
1790212182900,trial,1,posted,false,false,false,+x+y,45,500,608,5053,5094,5060,5101,5062,5103,6,9,0.0,49,1,3,24,done,"from=(5053,5094) to=(5059,5100) gain=6 arrived-early"
1790212183913,return,0,posted,false,false,false,home,-1,1190,607,5062,5103,5055,5095,5053,5094,6,9,3.8,48,1,3,24,done,"from=(5062,5103) to=(5057,5097) gain=6 arrived-early"
1790212184925,trial,1,posted,false,false,false,+x+y,45,800,608,5053,5094,5060,5101,5064,5103,8,11,5.7,1,1,3,24,done,"from=(5052,5094) to=(5060,5100) gain=8 arrived-early"
1790212186064,return,0,posted,false,false,false,home,-1,1320,729,5064,5103,5055,5095,5052,5093,8,12,1.8,90,1,3,27,done,"from=(5064,5103) to=(5056,5095) gain=8 arrived-early"
1790212186733,return,0,posted,false,false,false,home,-1,540,244,5052,5093,5055,5095,5059,5098,2,7,1.8,42,1,3,16,done,"from=(5052,5093) to=(5054,5095) gain=2 arrived-early"
1790212187542,trial,1,posted,false,false,false,+x+y,45,1200,365,5059,5098,5066,5105,5067,5108,5,10,6.3,84,1,3,19,done,"from=(5059,5098) to=(5064,5103) gain=5 arrived-early"
1790212188930,return,0,posted,false,false,false,home,-1,1840,982,5067,5108,5055,5095,5053,5094,11,14,2.3,42,1,3>5>3,33,done,"from=(5067,5108) to=(5057,5097) gain=11 arrived-early"
1790212189992,trial,1,posted,false,false,false,+x+y,45,2000,618,5053,5094,5060,5101,5062,5104,7,10,3.0,43,1,3,25,done,"from=(5053,5094) to=(5059,5101) gain=7 arrived-early"
1790212191012,return,0,posted,false,false,false,home,-1,1320,611,5062,5104,5055,5095,5053,5093,8,11,1.4,1,1,3,24,done,"from=(5063,5105) to=(5057,5097) gain=8 arrived-early"
