unix_ms,kind,rep,mode,focused_start,focused_end,spoofed,dir,dir_deg,hold_req_ms,held_ms,start_x,start_y,target_x,target_y,end_x,end_y,gain_at_release,gain,heading_err_deg,first_pos_move_ms,first_mode_move_ms,player_modes,samples,result,evidence
1790211871341,trial,1,posted,false,false,true,+x,0,80,123,5062,5089,5072,5089,5070,5088,2,8,7.1,124,124,5>3,13,done,"from=(5062,5089) to=(5064,5089) gain=2"
1790211872263,return,0,posted,false,false,true,home,-1,1190,485,5070,5088,5062,5089,5060,5094,6,10,23.8,42,1,3,22,done,"from=(5070,5088) to=(5064,5090) gain=6 arrived-early"
1790211873102,return,0,posted,false,false,true,home,-1,800,363,5059,5095,5062,5089,5063,5086,4,9,2.6,83,1,3,19,done,"from=(5059,5095) to=(5062,5091) gain=4 arrived-early"
1790211873652,trial,1,posted,false,false,true,+x,0,120,123,5063,5086,5073,5086,5071,5084,2,8,14.0,43,1,3,13,done,"from=(5063,5086) to=(5065,5085) gain=2"
1790211874699,return,0,posted,false,false,true,home,-1,1320,615,5071,5084,5062,5089,5060,5094,7,11,13.2,87,0,3,25,done,"from=(5071,5084) to=(5064,5090) gain=7 arrived-early"
1790211875538,return,0,posted,false,false,true,home,-1,800,365,5060,5094,5062,5089,5063,5086,3,8,1.2,89,1,3,19,done,"from=(5060,5094) to=(5062,5091) gain=3 arrived-early"
1790211876204,trial,1,posted,false,false,true,+x,0,200,242,5063,5086,5073,5086,5073,5084,4,10,11.3,41,0,3,16,done,"from=(5063,5086) to=(5067,5084) gain=4"
1790211877376,return,0,posted,false,false,true,home,-1,1580,728,5073,5084,5062,5089,5061,5092,9,12,9.2,41,1,3,27,done,"from=(5073,5084) to=(5064,5089) gain=9 arrived-early"
1790211878052,return,0,posted,false,false,true,home,-1,540,243,5061,5093,5062,5089,5063,5086,3,7,1.9,166,1,3,16,done,"from=(5061,5093) to=(5063,5090) gain=3 arrived-early"
1790211878897,trial,1,posted,false,false,true,+x,0,300,366,5063,5085,5073,5086,5075,5084,6,12,10.5,42,1,3,19,done,"from=(5063,5085) to=(5069,5084) gain=6"
1790211880153,return,0,posted,false,false,true,home,-1,1840,851,5075,5084,5062,5089,5061,5093,11,14,11.7,41,1,3,30,done,"from=(5075,5084) to=(5064,5090) gain=11 arrived-early"
1790211880988,return,0,posted,false,false,true,home,-1,670,369,5060,5094,5062,5089,5063,5085,4,9,3.4,82,1,3,19,done,"from=(5060,5094) to=(5063,5090) gain=4 arrived-early"
1790211881920,trial,1,posted,false,false,true,+x,0,500,494,5063,5085,5073,5085,5077,5083,9,14,8.1,83,1,3,22,done,"from=(5063,5085) to=(5072,5083) gain=9 arrived-early"
1790211883474,return,0,posted,false,false,true,home,-1,2000,1091,5078,5083,5062,5089,5060,5094,15,18,10.9,43,1,3,36,done,"from=(5078,5083) to=(5063,5090) gain=15 arrived-early"
1790211884321,return,0,posted,false,false,true,home,-1,800,366,5060,5094,5062,5089,5063,5086,3,8,1.2,42,1,3,19,done,"from=(5060,5094) to=(5062,5091) gain=3 arrived-early"
1790211885250,trial,1,posted,false,false,true,+x,0,800,488,5063,5086,5073,5086,5077,5084,9,14,8.1,82,1,3,22,done,"from=(5063,5086) to=(5072,5085) gain=9 arrived-early"
1790211886792,return,0,posted,false,false,true,home,-1,2000,1090,5078,5084,5062,5089,5060,5094,15,18,11.7,42,1,3,36,done,"from=(5078,5084) to=(5063,5091) gain=15 arrived-early"
1790211887626,return,0,posted,false,false,true,home,-1,800,370,5060,5094,5062,5089,5063,5086,4,8,1.2,1,1,3,19,done,"from=(5059,5095) to=(5062,5091) gain=4 arrived-early"
1790211888551,trial,1,posted,false,false,true,+x,0,1200,491,5063,5086,5073,5086,5078,5084,9,15,7.6,43,1,3,22,done,"from=(5063,5086) to=(5072,5084) gain=9 arrived-early"
1790211890098,return,0,posted,false,false,true,home,-1,2000,1094,5079,5084,5062,5089,5060,5094,15,19,11.4,42,1,3,36,done,"from=(5079,5084) to=(5064,5090) gain=15 arrived-early"
1790211890939,return,0,posted,false,false,true,home,-1,800,365,5060,5094,5062,5089,5063,5086,3,8,1.2,43,1,3,19,done,"from=(5060,5094) to=(5062,5091) gain=3 arrived-early"
1790211891868,trial,1,posted,false,false,true,+x,0,2000,486,5063,5087,5073,5086,5077,5084,8,14,6.4,2,2,3,22,done,"from=(5063,5086) to=(5071,5084) gain=8 arrived-early"
1790211893293,return,0,posted,false,false,true,home,-1,2000,973,5078,5084,5062,5089,5061,5093,15,17,10.5,82,1,3,33,done,"from=(5078,5084) to=(5063,5089) gain=15 arrived-early"
1790211893970,return,0,posted,false,false,true,home,-1,670,242,5061,5093,5062,5089,5063,5086,3,7,1.9,169,2,3,16,done,"from=(5061,5093) to=(5063,5090) gain=3 arrived-early"
1790211894554,trial,1,posted,false,false,true,+x+y,45,80,122,5063,5085,5070,5093,5068,5089,1,5,10.2,42,1,3,13,done,"from=(5063,5085) to=(5064,5085) gain=1"
1790211895228,return,0,posted,false,false,true,home,-1,930,243,5068,5089,5062,5089,5060,5094,4,8,32.0,42,1,3,16,done,"from=(5068,5089) to=(5064,5090) gain=4 arrived-early"
1790211896023,return,0,posted,false,false,true,home,-1,800,365,5060,5094,5062,5089,5063,5086,3,8,1.2,44,1,3,19,done,"from=(5060,5094) to=(5062,5091) gain=3 arrived-early"
